Filename,Words,AWL,TTR,LDE,ABLE,AMP,ASPECT,BEMA,CC,CD,CONC,COND,CONT,CUZ,DEMO,DMA,DOAUX,DT,DWNT,ELAB,EMO,EMPH,EX,FPUH,FREQ,GTO,HDG,HGOT,IN,JJAT,JJPR,MDCA,MDCO,MDMM,MDNE,MDWO,MDWS,NCOMP,NN,PASS,PEAS,PGET,PIT,PLACE,POLITE,POS,PP1P,PP1S,PP2,PP3f,PP3m,PP3t,PROG,QUAN,QUPR,QUTAG,RB,RP,SPLIT,STPR,THATD,THRC,THSC,TIME,VBD,VBG,VBN,VIMP,VPRT,WHQU,WHSC,XX0,YNQU,ACT,CAUSE,COMM,COMPAR,EXIST,INother,JJATDother,JJATother,JJCOLR,JJEPSTother,JJEVAL,JJPRother,JJREL,JJSIZE,JJTIME,JJTOPIC,MDPOSSCall,MDPREDall,MENTAL,NNABSPROC,NNCOG,NNCONC,NNGRP,NNHUMAN,NNP,NNPLACE,NNQUANT,NNTECH,NNother,NOMZ,NSTNCother,OCCUR,PASSall,PP1all,PP3all,PrepNSTNC,RATT,RBother,RFACT,RNONFACT,RSTNCall,SUPER,THRCother,THSCother,ThJEVL,ThJFCT,ThJSTNCall,ThSTNCall,ThVATT,ThVCOMM,ThVFCT,ThVLIK,ThVSTNCall,ToJABL,ToJCRTN,ToJEASE,ToJEFCT,ToJEVAL,ToJSTNCall,ToNSTNC,ToSTNCall,ToVDSR,ToVEFRT,ToVMNTL,ToVPROB,ToVSTNCall,WHSCother,WhVCOM,WhVFCT,WhVLIK,WhVSTNCall
HJB_C1_Conversation001.txt,504,4.3452,0.5425,0.4563,0.0,0.1984,5.2632,40.3509,38.5965,0.3968,0.0,1.7544,29.8246,3.5088,1.5873,0.3968,5.2632,27.8195,0.0,0.0,0.0,0.7937,5.2632,0.0,5.2632,0.0,0.0,1.7544,11.5079,18.797,28.0702,3.5088,0.0,0.0,0.0,0.0,3.5088,9.0226,26.3889,7.0175,0.0,0.0,21.0526,12.2807,0.0,2.2556,12.2807,33.3333,1.7544,0.0,8.7719,5.2632,21.0526,9.0226,1.7544,0.0,0.9921,1.7544,8.7719,0.0,1.7544,3.5088,1.7544,5.2632,0.0,5.2632,0.0,0.0,92.9825,5.2632,12.2807,3.5088,0.1984,21.0526,3.5088,7.0175,0.7937,1.7544,10.7143,0.0,8.2707,0.7519,0.0,1.5038,14.0351,2.2556,4.5113,2.2556,0.0,3.5088,3.5088,12.2807,11.2782,1.5038,2.2556,3.0075,10.5263,18.797,13.5338,6.015,0.7519,5.9524,0.0,0.7519,1.7544,7.0175,45.614,14.0351,2.2556,0.0,0.7937,0.0,0.1984,0.1984,0.7937,3.5088,0.0,0.0,1.7544,1.7544,0.1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1984,0.1984,0.0,0.1984,0.0,0.0,0.0,0.0,0.0,12.2807,0.0,0.0,0.0,0.0
HJB_C1_Conversation002.txt,440,4.4045,0.445,0.4159,0.0,0.2273,0.0,22.3881,16.4179,0.2273,1.4925,1.4925,11.9403,4.4776,3.6364,0.9091,5.9701,27.1739,0.0,1.4925,0.0,0.2273,0.0,0.0,2.9851,0.0,0.2273,0.0,10.2273,13.0435,13.4328,2.9851,2.9851,0.0,2.9851,1.4925,1.4925,7.6087,20.9091,2.9851,1.4925,0.0,16.4179,0.0,0.4545,1.087,20.8955,11.9403,16.4179,10.4478,0.0,16.4179,8.9552,9.7826,2.9851,0.0,1.5909,2.9851,1.4925,0.0,4.4776,4.4776,2.9851,0.0,26.8657,10.4478,0.0,0.0,61.194,4.4776,13.4328,10.4478,0.4545,29.8507,1.4925,4.4776,0.0,10.4478,8.8636,1.087,10.8696,0.0,0.0,2.1739,7.4627,2.1739,0.0,0.0,0.0,5.9701,2.9851,19.403,16.3043,0.0,3.2609,0.0,23.913,1.087,0.0,3.2609,0.0,7.2727,8.6957,0.0,2.9851,2.9851,32.8358,26.8657,0.0,0.0,1.1364,0.6818,0.0,0.6818,0.4545,4.4776,0.0,0.0,0.0,0.0,0.4545,1.4925,0.0,1.4925,0.0,2.9851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1364,5.9701,0.0,0.0,1.4925,7.4627,13.4328,0.0,0.0,0.0,0.0
HJB_C1_Conversation003.txt,683,4.1435,0.4425,0.388,2.7027,1.0249,0.0,28.8288,22.5225,0.4392,1.8018,1.8018,12.6126,3.6036,1.6105,0.7321,11.7117,38.3178,0.2928,0.0,0.0,0.2928,1.8018,0.0,0.9009,0.9009,0.2928,0.0,9.9561,14.0187,18.018,1.8018,0.9009,3.6036,2.7027,1.8018,2.7027,1.8692,15.6662,1.8018,3.6036,0.0,20.7207,0.9009,0.4392,0.0,17.1171,7.2072,21.6216,0.0,18.9189,9.009,7.2072,10.2804,0.9009,0.0,2.1962,4.5045,3.6036,0.0,8.1081,3.6036,10.8108,0.9009,15.3153,1.8018,0.0,0.0,71.1712,1.8018,12.6126,12.6126,0.4392,23.4234,2.7027,13.5135,0.0,4.5045,8.9312,0.0,6.5421,0.0,0.0,0.0,16.2162,4.6729,0.9346,0.9346,1.8692,6.3063,5.4054,26.1261,14.9533,5.6075,5.6075,0.9346,27.1028,1.8692,0.9346,2.8037,2.8037,5.5637,0.0,0.0,3.6036,1.8018,24.3243,27.9279,0.9346,0.0,2.0498,0.2928,0.0,0.2928,0.0,3.6036,3.6036,0.0,0.0,0.0,1.1713,0.0,0.9009,2.7027,3.6036,7.2072,0.0,0.0,0.0,0.0,0.1464,0.1464,0.0,0.8785,4.5045,0.0,0.0,0.0,4.5045,11.7117,0.0,0.9009,0.0,0.9009
HJB_C1_Conversation004.txt,727,4.2173,0.41,0.3755,1.9802,1.1004,0.9901,34.6535,19.802,0.4127,1.9802,5.9406,15.8416,3.9604,2.6135,0.5502,4.9505,28.0,0.1376,0.9901,0.0,0.5502,2.9703,0.0,0.9901,0.9901,0.6878,0.9901,11.6919,13.6,21.7822,5.9406,5.9406,0.9901,3.9604,3.9604,1.9802,9.6,17.1939,0.9901,0.0,0.0,19.802,1.9802,0.2751,0.0,20.7921,16.8317,22.7723,0.0,11.8812,3.9604,9.901,4.0,11.8812,0.0,1.6506,4.9505,4.9505,2.9703,1.9802,6.9307,9.901,0.9901,8.9109,4.9505,0.0,0.9901,67.3267,4.9505,13.8614,16.8317,0.4127,13.8614,0.9901,8.9109,0.2751,4.9505,10.1788,4.8,7.2,0.0,0.8,3.2,12.8713,0.0,0.8,0.0,1.6,12.8713,6.9307,20.7921,21.6,1.6,5.6,0.8,17.6,2.4,2.4,0.8,0.0,6.0523,0.8,0.0,1.9802,0.9901,37.6238,15.8416,0.8,0.0,1.238,0.2751,0.0,0.2751,0.2751,6.9307,4.9505,0.0,0.0,0.0,0.6878,0.0,0.9901,0.9901,2.9703,4.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629,2.9703,1.9802,0.0,1.9802,6.9307,11.8812,0.0,1.9802,0.0,1.9802
HJB_C1_Conversation005.txt,736,4.1549,0.4375,0.4103,0.0,0.1359,0.0,36.3636,22.7273,0.9511,0.9091,1.8182,17.2727,0.0,2.5815,0.4076,2.7273,26.0274,0.1359,0.9091,0.0,0.6793,4.5455,0.0,10.9091,0.0,0.2717,1.8182,12.0924,12.3288,23.6364,1.8182,0.9091,4.5455,1.8182,0.0,2.7273,8.2192,19.837,3.6364,3.6364,0.0,17.2727,4.5455,0.1359,0.0,10.0,28.1818,14.5455,5.4545,0.0,1.8182,12.7273,8.2192,4.5455,0.0,1.2228,2.7273,3.6364,0.9091,1.8182,3.6364,8.1818,3.6364,2.7273,5.4545,1.8182,1.8182,83.6364,1.8182,8.1818,6.3636,0.2717,22.7273,5.4545,6.3636,0.1359,2.7273,11.2772,1.3699,6.1644,0.0,0.6849,0.0,19.0909,2.0548,1.3699,2.0548,1.3699,7.2727,2.7273,24.5455,17.8082,2.7397,2.7397,2.7397,15.0685,16.4384,0.6849,4.7945,0.0,5.0272,2.7397,0.0,3.6364,3.6364,38.1818,7.2727,0.0,0.0,1.087,0.2717,0.0,0.2717,0.1359,3.6364,4.5455,0.0,0.0,0.0,0.5435,0.0,0.0,2.7273,0.9091,3.6364,0.0,0.0,0.0,0.0,0.1359,0.1359,0.0,0.6793,3.6364,0.0,0.0,0.0,3.6364,7.2727,0.0,0.9091,0.0,0.9091
HJB_C1_Conversation006.txt,721,4.0458,0.39,0.3634,0.9804,0.2774,0.0,37.2549,31.3725,0.2774,0.0,0.0,18.6275,0.9804,2.4965,1.1096,5.8824,49.3333,0.0,0.9804,0.0,0.6935,1.9608,1.387,0.9804,0.0,0.0,0.0,9.9861,23.3333,17.6471,7.8431,3.9216,0.0,0.0,0.9804,0.9804,0.0,20.8044,8.8235,2.9412,0.0,24.5098,4.902,0.8322,2.6667,0.0,7.8431,25.4902,0.0,0.0,4.902,6.8627,4.0,3.9216,0.0,1.2483,0.0,4.902,2.9412,0.9804,2.9412,10.7843,1.9608,10.7843,1.9608,0.0,1.9608,73.5294,12.7451,14.7059,7.8431,0.5548,4.902,0.9804,21.5686,0.0,4.902,9.2926,0.0,12.6667,0.0,0.0,0.0,14.7059,1.3333,0.6667,8.6667,0.0,11.7647,1.9608,24.5098,14.6667,2.6667,4.6667,0.0,0.6667,26.6667,10.0,4.6667,2.0,6.7961,0.0,0.6667,0.9804,8.8235,7.8431,4.902,0.6667,0.0,1.2483,0.0,0.0,0.0,0.1387,2.9412,3.9216,0.0,0.0,0.0,0.9709,0.0,5.8824,0.9804,0.0,6.8627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1387,0.9804,0.0,0.0,0.0,0.9804,14.7059,0.0,0.0,0.0,0.0
HJB_C1_Conversation007.txt,378,4.0899,0.4603,0.4233,0.0,0.2646,2.0,16.0,26.0,0.2646,2.0,2.0,16.0,2.0,2.9101,2.1164,22.0,38.1579,0.0,4.0,0.0,0.7937,2.0,0.5291,2.0,0.0,0.0,0.0,9.7884,9.2105,22.0,10.0,2.0,0.0,6.0,2.0,2.0,2.6316,20.1058,8.0,0.0,2.0,6.0,0.0,0.2646,1.3158,20.0,16.0,12.0,6.0,0.0,10.0,6.0,11.8421,0.0,0.0,1.8519,4.0,4.0,0.0,4.0,6.0,8.0,0.0,2.0,2.0,2.0,0.0,76.0,16.0,6.0,12.0,0.2646,26.0,8.0,22.0,0.0,0.0,8.2011,0.0,7.8947,0.0,0.0,2.6316,18.0,1.3158,0.0,0.0,0.0,12.0,4.0,22.0,6.5789,1.3158,14.4737,0.0,10.5263,2.6316,6.5789,2.6316,0.0,10.3175,1.3158,0.0,2.0,10.0,36.0,16.0,0.0,0.0,1.5873,0.2646,0.0,0.2646,0.0,6.0,0.0,0.0,0.0,0.0,1.0582,2.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0582,8.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0
HJB_C1_Conversation008.txt,752,4.2646,0.5,0.4441,0.0,0.266,2.8571,30.4762,23.8095,1.4628,0.9524,1.9048,20.9524,0.9524,1.5957,1.1968,8.5714,25.3886,0.133,0.0,0.0,0.0,3.8095,0.6649,3.8095,0.0,0.3989,0.0,9.9734,13.9896,15.2381,6.6667,0.9524,0.0,0.9524,0.9524,0.9524,12.4352,25.6649,0.9524,0.0,0.0,10.4762,2.8571,0.133,0.5181,14.2857,20.9524,12.381,1.9048,0.0,16.1905,4.7619,10.3627,3.8095,0.9524,1.7287,0.9524,2.8571,0.9524,3.8095,1.9048,2.8571,4.7619,14.2857,7.619,1.9048,0.0,75.2381,4.7619,11.4286,10.4762,0.7979,23.8095,2.8571,12.381,0.133,0.9524,9.8404,0.0,10.3627,0.0,1.0363,2.0725,10.4762,0.5181,0.5181,0.5181,0.0,7.619,1.9048,14.2857,2.0725,0.0,8.8083,1.0363,9.3264,9.8446,3.1088,5.1813,0.5181,12.1011,0.5181,0.0,4.7619,0.9524,35.2381,18.0952,0.0,0.133,1.3298,0.3989,0.0,0.5319,0.5319,1.9048,0.9524,1.9048,0.0,1.9048,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4762,0.0,0.9524,0.0,0.9524
HJB_C1_Conversation009.txt,632,4.3101,0.4875,0.4177,0.0,0.7911,2.3256,22.093,43.0233,0.7911,1.1628,2.3256,18.6047,2.3256,1.4241,0.6329,8.1395,23.7705,0.1582,1.1628,0.0,1.1076,3.4884,0.3165,5.814,2.3256,0.1582,0.0,9.019,13.9344,18.6047,2.3256,0.0,1.1628,4.6512,6.9767,0.0,6.5574,19.3038,0.0,4.6512,0.0,9.3023,0.0,0.3165,0.8197,6.9767,8.1395,6.9767,1.1628,0.0,46.5116,5.814,14.7541,2.3256,0.0,3.481,3.4884,4.6512,0.0,5.814,4.6512,8.1395,9.3023,19.7674,3.4884,2.3256,4.6512,60.4651,5.814,9.3023,11.6279,0.7911,38.3721,6.9767,13.9535,0.9494,1.1628,8.7025,0.0,5.7377,0.0,0.8197,2.459,13.9535,0.0,2.459,0.8197,0.0,3.4884,9.3023,13.9535,11.4754,2.459,7.377,5.7377,23.7705,4.0984,1.6393,8.1967,0.8197,5.3797,0.0,0.0,4.6512,0.0,15.1163,47.6744,0.8197,0.0,2.8481,0.4747,0.0,0.4747,0.1582,3.4884,4.6512,0.0,0.0,0.0,0.4747,0.0,1.1628,2.3256,0.0,3.4884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1582,1.1628,0.0,0.0,0.0,1.1628,8.1395,0.0,1.1628,0.0,1.1628
HJB_C1_Conversation010.txt,634,4.0158,0.485,0.3738,1.1111,1.5773,1.1111,26.6667,23.3333,0.3155,0.0,1.1111,12.2222,1.1111,2.2082,1.1041,11.1111,54.8077,0.7886,1.1111,0.0,1.4196,2.2222,0.6309,3.3333,0.0,0.1577,0.0,8.2019,16.3462,31.1111,7.7778,1.1111,1.1111,12.2222,0.0,0.0,7.6923,16.4038,1.1111,3.3333,0.0,14.4444,3.3333,0.0,0.9615,28.8889,14.4444,6.6667,1.1111,1.1111,23.3333,1.1111,8.6538,1.1111,0.0,3.3123,3.3333,6.6667,0.0,1.1111,3.3333,11.1111,7.7778,41.1111,7.7778,3.3333,0.0,36.6667,3.3333,5.5556,7.7778,0.6309,32.2222,0.0,11.1111,0.7886,1.1111,7.8864,0.0,12.5,0.0,1.9231,0.9615,23.3333,1.9231,0.9615,0.0,0.0,10.0,0.0,14.4444,8.6538,0.9615,4.8077,3.8462,6.7308,5.7692,1.9231,7.6923,0.9615,8.0442,0.9615,0.0,0.0,1.1111,43.3333,25.5556,0.9615,0.0,2.9968,0.3155,0.0,0.3155,0.0,3.3333,3.3333,2.2222,1.1111,3.3333,1.1041,0.0,2.2222,1.1111,1.1111,4.4444,0.0,0.0,0.1577,0.0,0.0,0.1577,0.0,0.1577,0.0,0.0,0.0,0.0,0.0,5.5556,0.0,0.0,0.0,0.0
HJB_C2_Conversation001.txt,449,4.4143,0.4775,0.4321,1.6129,0.4454,0.0,40.3226,24.1935,2.0045,0.0,0.0,20.9677,0.0,1.1136,1.3363,8.0645,35.5769,0.2227,0.0,0.0,0.0,0.0,0.2227,3.2258,0.0,0.2227,0.0,8.4633,15.3846,22.5806,1.6129,0.0,0.0,1.6129,4.8387,3.2258,1.9231,23.1626,3.2258,12.9032,0.0,11.2903,3.2258,0.0,3.8462,3.2258,17.7419,9.6774,1.6129,25.8065,9.6774,4.8387,8.6538,4.8387,0.0,2.2272,0.0,4.8387,0.0,4.8387,0.0,6.4516,8.0645,17.7419,3.2258,3.2258,0.0,70.9677,14.5161,4.8387,9.6774,0.6682,30.6452,3.2258,11.2903,0.6682,1.6129,7.7951,0.9615,4.8077,0.0,2.8846,2.8846,1.6129,0.0,0.0,8.6538,0.0,1.6129,8.0645,20.9677,11.5385,0.0,1.9231,0.9615,7.6923,25.0,8.6538,0.9615,1.9231,8.686,1.9231,0.0,1.6129,3.2258,20.9677,37.0968,0.0,0.0,2.0045,0.4454,0.0,0.4454,1.1136,0.0,1.6129,0.0,0.0,0.0,0.6682,1.6129,1.6129,1.6129,0.0,4.8387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682,4.8387,0.0,0.0,0.0,4.8387,4.8387,0.0,0.0,0.0,0.0
HJB_C2_Conversation002.txt,755,4.1603,0.4225,0.3974,0.0,0.3974,0.0,28.3186,23.8938,0.5298,1.7699,1.7699,14.1593,2.6549,3.9735,2.1192,9.7345,42.8571,0.0,2.6549,0.0,1.0596,7.0796,0.1325,4.4248,0.885,0.2649,0.0,9.404,16.3265,19.469,1.7699,0.885,10.6195,0.885,1.7699,2.6549,2.7211,19.4702,3.5398,1.7699,0.0,17.6991,3.5398,0.3974,0.0,0.885,6.1947,4.4248,0.0,0.0,4.4248,5.3097,13.6054,2.6549,0.0,1.1921,3.5398,5.3097,0.0,0.885,2.6549,15.9292,1.7699,11.5044,4.4248,1.7699,0.0,69.9115,7.0796,7.0796,10.6195,0.1325,26.5487,2.6549,20.354,1.457,4.4248,7.6821,0.0,7.483,0.0,6.1224,3.4014,9.7345,0.6803,0.6803,0.0,2.0408,13.2743,5.3097,16.8142,25.8503,2.7211,2.0408,0.6803,23.8095,0.0,0.6803,2.0408,6.1224,6.0927,0.6803,0.0,1.7699,3.5398,7.0796,4.4248,1.3605,0.0,1.0596,0.0,0.1325,0.1325,0.0,2.6549,7.0796,0.0,0.885,0.885,1.3245,0.0,6.1947,0.885,0.885,7.9646,0.0,0.3974,0.1325,0.0,0.0,0.5298,0.0,1.3245,5.3097,0.0,0.0,0.0,5.3097,5.3097,0.0,0.885,0.885,1.7699
HJB_C2_Conversation003.txt,667,3.901,0.4475,0.4033,0.0,0.8996,1.8692,36.4486,28.972,0.8996,2.8037,0.9346,23.3645,3.7383,1.7991,1.6492,7.4766,37.3913,0.0,0.0,0.0,1.3493,3.7383,0.0,6.5421,0.9346,0.7496,0.0,7.4963,14.7826,32.7103,2.8037,0.0,3.7383,0.0,0.0,0.0,1.7391,17.2414,0.9346,2.8037,0.0,26.1682,2.8037,0.1499,0.0,7.4766,31.7757,2.8037,2.8037,0.9346,6.5421,3.7383,5.2174,1.8692,0.0,1.3493,4.6729,5.6075,0.9346,3.7383,1.8692,8.4112,1.8692,30.8411,4.6729,0.0,0.0,62.6168,3.7383,6.5421,14.0187,0.1499,21.4953,0.0,13.0841,1.3493,0.0,6.2969,1.7391,4.3478,0.0,6.9565,4.3478,19.6262,1.7391,3.4783,0.0,0.8696,6.5421,0.9346,17.757,7.8261,3.4783,3.4783,0.0,25.2174,11.3043,2.6087,2.6087,3.4783,6.5967,0.0,0.0,2.8037,0.9346,39.2523,10.2804,0.0,0.0,0.8996,0.2999,0.1499,0.4498,0.0,1.8692,3.7383,0.0,0.0,0.0,0.7496,0.0,3.7383,0.9346,0.0,4.6729,0.0,0.4498,0.1499,0.0,0.0,0.5997,0.0,1.0495,1.8692,0.9346,0.0,0.0,2.8037,4.6729,0.0,0.9346,0.9346,1.8692
